country,country_code,indicator_name,indicator_code,year,life_expectancy
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,72.546
Africa Eastern And Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,51.0963264543047
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,45.118
Africa Western And Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,48.4592954544909
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,41.854
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,72.71
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,78.961
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,62.7559727299802
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.074
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.615
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,67.5493658536585
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.107
Antigua And Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,73.602
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.9946341463415
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,75.5682926829269
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,62.75
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,45.184
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.0519512195122
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,53.02
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,49.315
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,55.822
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.6414634146342
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,72.587
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.945
Bosnia And Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.509
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.8365853658537
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,69.569
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,73.952
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,56.797
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,65.862
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,73.463
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,71.629
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,55.811
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,60.104
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,49.854
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,77.4365853658537
Central Europe And The Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,70.6563313372586
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,77.2424390243902
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,76.3
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,73.675
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,68.155
Cote D'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,52.796
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,54.348
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,48.538
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,57.07
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1990,68.701
